spp,act,pass,float,obsn,obst1,n3,seq
45491,34444,43115,0,1,339619,50,RIXUVUYGRHJLRWWRE$BLUBOS^ZB>C$=?>$BUBO^ZB>C$=?Z>$$B
45490,44452,44452,0,1,339617,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLUBO^B>C$=?>$$BLUB%}PYH
45489,34444,5086,0,1,339615,6,$OYH}OB
45487,37843,44452,0,1,339595,50,HHLUEUWIYJRIXVUYGHJLWWRE$BLUBO^B>C$=?>$$BLUB%}OYH
45486,45179,44452,0,1,339580,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45486,45179,45486,0,2,339580,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45484,37843,44452,0,1,339560,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLU}BO^B>C$=?>$$BLUB%}OYH
45483,18574,3747,0,1,339559,33,C=?>$$BUBOB>C$=N?>$$BLUBO%}}Y^OB
45482,37843,40378,0,1,339558,56,UUYGRHJLRWWRE$BLUBO^>C$=?>$$BLUBO}^BX>C$=?>$$BLUBO}OYHOBA
45481,17678,3747,0,1,339555,0,$=?>$$BUBO^BQC$=N?>$$BLUA
45479,43907,43012,0,1,339541,23,$BLUBOSI^ZB>CD=?>$$BUBO^ZB>C$=?>$$B
45478,40721,45005,0,1,339533,0,HHLUEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?>$$CLUBO
45477,12476,8625,0,1,339517,65,$=?>$$BUPBO^B>C$=N?>$$BLUBO%}}Y^OB
45476,40031,21994,0,1,339513,0,$=?>$$CVBO^B>C$=N?>$$BLUBO%}Y^OB
45475,44452,45336,0,1,339511,104,BHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45474,44452,44452,0,1,339509,50,HHLUEUWIJRIXVUUYGHJLWWRE$BLUBO^B>C$=?>$$BLUB%}OYH
45472,8625,8625,0,1,339493,1999,$=?>$$BUBO^B>C$=N?>$$BLUBO%}}YCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
45471,39981,39981,0,1,339491,32,$=?>$$BUBO^B>CC=?>$BLUBO%}}Y^OB$
45471,39981,45471,0,1,339491,32,$=?>$$BUBO^B>CC=?>$BLUBO%}}Y^OB$
45470,39981,39981,0,1,339483,32,$=?>$$BUBO^B>C=?>$BLUBO%}}Y^OB$
45469,35543,11955,0,1,339481,7,D=?>$$C
45466,37843,37843,0,1,339456,54,HHLUEUWIYJRIXWUUYGRHJLWWRE$BLUBO^B>C$=?>$$BLUBO%}OYHOB
45465,45247,45440,0,1,339455,0,BHJLRWWSE$OYHOBHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45463,44452,44452,0,1,339438,50,HHLUEKUWIYJRIXVUUYGHJLWWRE$BLUBO^B>C$=?>$$BLUB%}OYH
45462,39981,21947,0,1,339435,45,^B>C$=?>$B?UBO%}}Y^OB$=?>$$BUBO^B>C
45461,3747,15191,0,1,339395,1,$=W$$$
45460,17179,39892,0,1,339382,0,$=?>$$BUBOH>C$=N?>$$BLUBO%}}Y^OB
45459,45243,45336,0,1,339376,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO?>$$BLUBO}OYHO
45459,45336,45336,0,1,339376,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO?>$$BLUBO}OYHO
45458,34444,34444,0,1,339368,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>$=?>$$BBLUBOM%}OYHOB
45457,34751,34751,0,1,339353,23,RIXUVUYGRHJLRWWRE$BLUBO^ZB>C$=?>$$BUBO^ZB>C$=?>D$B
45456,37843,37843,0,1,339344,54,HHLEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?>$$BLUBO%}OYHOB
45455,8625,18920,0,1,339336,66,$=?>$$UBO^B>C$=N?>$$BLUBO%O}Y^OB
45454,43012,5086,0,1,339330,0,$BLUBOS^ZB>C$?>$$BUBO^ZB>C$=?>$B
45452,45448,34444,0,1,339268,1,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C=?>$$BBLUBOM%}OYHOBE
45452,34444,45452,0,2,339268,1,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C=?>$$BBLUBOM%}OYHOBE
45451,42348,12476,0,1,339256,15,$=?>$BUB?O^A>CC
